epoch,global_step,step,tmp_loss,tmp_ppl,mean_loss,mean_ppl,n_token_real,n_token_total,epoch_time
1,2,2,2.7716827392578125,15.091211318969727,2.7716827392578125,15.091211318969727,2050,2288,0.5910665988922119
1,3,3,2.7329835891723633,15.364995956420898,2.752333164215088,15.228103637695312,4610,4848,0.8409504890441895
1,4,4,2.453662395477295,10.634217262268066,2.6527762413024902,13.696808179219564,5606,6000,1.0338163375854492
1,5,5,2.5917043685913086,13.35251235961914,2.637508273124695,13.610734224319458,8166,8560,1.2655837535858154
1,6,6,2.6679110527038574,14.409829139709473,2.643588829040527,13.77055320739746,10726,11120,1.4944710731506348
1,7,7,2.4528939723968506,11.58104133605957,2.611806352933248,13.405634562174479,13286,13680,1.7232375144958496
1,8,8,2.5772316455841064,13.110933303833008,2.606867109026228,13.363534382411412,15846,16240,1.958209753036499
1,9,9,2.6159706115722656,18.55038833618164,2.6080050468444824,14.01189112663269,18316,18800,2.209073066711426
1,10,10,2.7175416946411133,15.082071304321289,2.6201757854885526,14.130800035264757,20876,21360,2.437093734741211
1,11,11,2.6227681636810303,13.7546968460083,2.6204350233078,14.093189716339111,23436,23920,2.6732895374298096
1,12,12,2.6465749740600586,16.567846298217773,2.6228113824670967,14.318158496509898,24087,24704,2.856344699859619
1,13,13,2.7902169227600098,15.945352554321289,2.6367618441581726,14.453758001327515,26635,27264,3.1109344959259033
1,14,14,2.5292208194732666,12.758356094360352,2.628489457643949,14.323342470022348,29191,29824,3.3455100059509277
1,15,15,2.734158754348755,15.396788597106934,2.6360372645514354,14.400017193385533,31751,32384,3.6015288829803467
1,16,16,2.510124921798706,12.306467056274414,2.62764310836792,14.260447184244791,34311,34944,3.831404685974121
1,17,17,2.4641008377075195,11.783894538879395,2.617421716451645,14.105662643909454,36842,37504,4.0874364376068115
1,18,18,2.7936720848083496,16.34091567993164,2.62778938517851,14.237148116616641,39402,40064,4.334669351577759
1,19,19,2.4739177227020264,11.71155071258545,2.619240959485372,14.09683714972602,40452,41280,4.515697956085205
1,20,20,2.436229705810547,11.752399444580078,2.6096087882393286,13.973445691560444,41997,42992,4.735825300216675
